"","LTeamID","WTeamID","Season","DayNum","WScore","LScore","WLoc","NumOT","Winner","Loser"
"1017",1103,1122,2010,13,80,77,"A",0,"Austin Peay","Akron"
"1077",1103,1433,2010,110,70,53,"H",0,"VCU","Akron"
"1134",1104,1199,2010,25,60,51,"N",0,"Florida St","Alabama"
"1173",1104,1120,2010,89,58,57,"H",0,"Auburn","Alabama"
"1177",1104,1165,2010,12,71,67,"A",0,"Cornell","Alabama"
"1195",1104,1246,2010,99,66,55,"H",0,"Kentucky","Alabama"
"1207",1104,1435,2010,72,65,64,"A",0,"Vanderbilt","Alabama"
"1219",1104,1243,2010,47,87,74,"N",0,"Kansas St","Alabama"
"1235",1104,1345,2010,40,73,65,"A",0,"Purdue","Alabama"
"1240",1104,1116,2010,75,71,59,"H",0,"Arkansas","Alabama"
"1259",1104,1397,2010,78,63,56,"A",0,"Tennessee","Alabama"
"1260",1104,1246,2010,130,73,67,"N",0,"Kentucky","Alabama"
"1433",1104,1279,2010,96,74,67,"H",0,"Mississippi","Alabama"
"1453",1104,1196,2010,94,66,65,"A",0,"Florida","Alabama"
"1462",1104,1280,2010,114,74,66,"H",0,"Mississippi St","Alabama"
"1498",1104,1279,2010,117,76,73,"A",0,"Mississippi","Alabama"
"1504",1104,1208,2010,110,76,70,"H",0,"Georgia","Alabama"
"1563",1105,1411,2010,91,67,62,"A",0,"TX Southern","Alabama A&M"
"1571",1105,1115,2010,96,62,55,"H",0,"Ark Pine Bluff","Alabama A&M"
"1632",1105,1238,2010,63,71,60,"H",0,"Jackson St","Alabama A&M"
"1655",1105,1341,2010,117,62,53,"H",0,"Prairie View","Alabama A&M"
"1679",1105,1106,2010,103,80,76,"A",0,"Alabama St","Alabama A&M"
"1680",1105,1199,2010,59,81,34,"H",0,"Florida St","Alabama A&M"
"1700",1105,1106,2010,129,56,45,"N",0,"Alabama St","Alabama A&M"
"1717",1105,1212,2010,65,64,62,"H",1,"Grambling","Alabama A&M"
"1746",1105,1120,2010,29,87,52,"N",0,"Auburn","Alabama A&M"
"1749",1105,1115,2010,68,82,72,"A",0,"Ark Pine Bluff","Alabama A&M"
"1751",1105,1398,2010,43,80,77,"H",0,"Tennessee St","Alabama A&M"
"1753",1105,1238,2010,122,70,64,"A",0,"Jackson St","Alabama A&M"
"1771",1105,1411,2010,119,98,57,"H",0,"TX Southern","Alabama A&M"
"1831",1105,1106,2010,75,83,69,"H",0,"Alabama St","Alabama A&M"
"1836",1105,1376,2010,11,88,50,"H",0,"South Carolina","Alabama A&M"
"2008",1106,1115,2010,98,47,42,"H",0,"Ark Pine Bluff","Alabama St"
"2021",1106,1191,2010,32,61,57,"H",0,"Evansville","Alabama St"
"2039",1106,1120,2010,50,94,78,"H",0,"Auburn","Alabama St"
"2065",1106,1290,2010,68,76,73,"A",0,"MS Valley St","Alabama St"
"2068",1106,1279,2010,14,90,53,"H",0,"Mississippi","Alabama St"
"2073",1106,1116,2010,44,76,51,"H",0,"Arkansas","Alabama St"
"2124",1106,1341,2010,91,56,55,"A",0,"Prairie View","Alabama St"
"2128",1106,1238,2010,124,60,59,"A",0,"Jackson St","Alabama St"
"2170",1106,1290,2010,96,82,71,"H",0,"MS Valley St","Alabama St"
"2188",1106,1125,2010,19,78,42,"H",0,"Belmont","Alabama St"
"2199",1106,1177,2010,30,58,50,"H",0,"DePaul","Alabama St"
"2246",1106,1356,2010,40,82,63,"H",0,"S Illinois","Alabama St"
"2268",1106,1408,2010,28,82,55,"H",0,"Tulane","Alabama St"
"2333",1106,1238,2010,65,63,62,"H",0,"Jackson St","Alabama St"
"2334",1106,1115,2010,130,46,44,"N",0,"Ark Pine Bluff","Alabama St"
"2408",1107,1392,2010,83,67,61,"H",0,"Stony Brook","SUNY Albany"
"2409",1107,1263,2010,80,63,54,"A",0,"Maine","SUNY Albany"
"2415",1107,1306,2010,99,62,53,"A",0,"New Hampshire","SUNY Albany"
"2435",1107,1260,2010,50,68,56,"H",0,"Loyola-Chicago","SUNY Albany"
"2461",1107,1178,2010,19,66,54,"A",0,"Detroit","SUNY Albany"
"2473",1107,1263,2010,114,66,53,"H",0,"Maine","SUNY Albany"
"2478",1107,1436,2010,69,71,54,"A",0,"Vermont","SUNY Albany"
"2483",1107,1233,2010,45,75,62,"H",0,"Iona","SUNY Albany"
"2487",1107,1373,2010,33,83,54,"H",0,"Siena","SUNY Albany"
"2492",1107,1306,2010,72,67,59,"H",0,"New Hampshire","SUNY Albany"
"2544",1107,1288,2010,11,69,65,"A",0,"Morgan St","SUNY Albany"
"2545",1107,1393,2010,7,75,43,"H",0,"Syracuse","SUNY Albany"
"2546",1107,1216,2010,118,85,79,"H",1,"Hartford","SUNY Albany"
"2559",1107,1194,2010,28,81,65,"H",0,"FL Atlantic","SUNY Albany"
"2565",1107,1131,2010,78,79,58,"H",0,"Boston Univ","SUNY Albany"
"2566",1107,1131,2010,96,68,53,"A",0,"Boston Univ","SUNY Albany"
"2575",1107,1314,2010,58,87,70,"H",0,"North Carolina","SUNY Albany"
"2588",1107,1127,2010,93,78,73,"H",0,"Binghamton","SUNY Albany"
"2593",1107,1392,2010,109,68,66,"A",0,"Stony Brook","SUNY Albany"
"2617",1107,1127,2010,66,62,57,"A",0,"Binghamton","SUNY Albany"
"2632",1107,1148,2010,40,70,68,"H",1,"Central Conn","SUNY Albany"
"2652",1107,1416,2010,26,76,72,"H",0,"UCF","SUNY Albany"
"2673",1107,1436,2010,89,64,46,"H",0,"Vermont","SUNY Albany"
"2686",1107,1392,2010,124,68,59,"N",0,"Stony Brook","SUNY Albany"
"2702",1107,1216,2010,86,64,62,"A",0,"Hartford","SUNY Albany"
"2721",1108,1115,2010,77,93,59,"H",0,"Ark Pine Bluff","Alcorn St"
"2736",1108,1116,2010,11,130,68,"H",0,"Arkansas","Alcorn St"
"2752",1108,1341,2010,65,82,60,"H",0,"Prairie View","Alcorn St"
"2816",1108,1290,2010,75,80,70,"H",0,"MS Valley St","Alcorn St"
"2894",1108,1212,2010,98,73,58,"H",0,"Grambling","Alcorn St"
"2897",1108,1326,2010,7,100,60,"H",0,"Ohio St","Alcorn St"
"2909",1108,1411,2010,122,84,67,"A",0,"TX Southern","Alcorn St"
"2914",1108,1105,2010,84,84,70,"A",0,"Alabama A&M","Alcorn St"
"2922",1108,1115,2010,105,59,45,"A",0,"Ark Pine Bluff","Alcorn St"
"2948",1108,1106,2010,82,69,62,"A",0,"Alabama St","Alcorn St"
"2968",1108,1242,2010,30,98,31,"H",0,"Kansas","Alcorn St"
"2973",1108,1141,2010,58,68,64,"A",0,"C Michigan","Alcorn St"
"3017",1108,1375,2010,23,83,67,"H",0,"South Alabama","Alcorn St"
"3035",1108,1106,2010,110,91,64,"H",0,"Alabama St","Alcorn St"
"3052",1108,1107,2010,18,71,55,"H",0,"SUNY Albany","Alcorn St"
"3077",1108,1178,2010,20,79,59,"N",0,"Detroit","Alcorn St"
"3117",1108,1105,2010,112,72,60,"H",0,"Alabama A&M","Alcorn St"
"3123",1108,1238,2010,96,85,64,"H",0,"Jackson St","Alcorn St"
"3125",1108,1430,2010,24,68,53,"N",0,"Utah Valley","Alcorn St"
"3147",1108,1455,2010,28,87,52,"H",0,"Wichita St","Alcorn St"
"3186",1108,1380,2010,117,60,57,"A",0,"Southern Univ","Alcorn St"
"3189",1108,1352,2010,19,107,76,"N",0,"Robert Morris","Alcorn St"
"3200",1108,1212,2010,70,82,74,"A",1,"Grambling","Alcorn St"
"3263",1108,1411,2010,63,89,56,"H",0,"TX Southern","Alcorn St"
"3268",1108,1238,2010,86,63,51,"A",0,"Jackson St","Alcorn St"
"3289",1108,1380,2010,89,84,75,"H",0,"Southern Univ","Alcorn St"
"3316",1108,1431,2010,47,101,41,"H",0,"UTEP","Alcorn St"
"3318",1108,1308,2010,49,97,72,"H",0,"New Mexico St","Alcorn St"
"3326",1108,1419,2010,13,82,66,"H",0,"ULM","Alcorn St"
"3519",1110,1264,2010,23,69,62,"A",0,"Manhattan","American Univ"
"3556",1110,1119,2010,79,68,48,"H",0,"Army","American Univ"
"3576",1110,1271,2010,26,65,58,"H",0,"MD E Shore","American Univ"
"3596",1110,1250,2010,68,78,67,"H",0,"Lehigh","American Univ"
"3621",1110,1250,2010,96,77,65,"A",0,"Lehigh","American Univ"
"3647",1110,1137,2010,72,72,68,"H",1,"Bucknell","American Univ"
"3660",1110,1420,2010,47,59,57,"A",0,"UMBC","American Univ"
"3699",1110,1107,2010,14,51,50,"A",0,"SUNY Albany","American Univ"
"3724",1110,1221,2010,111,64,51,"H",0,"Holy Cross","American Univ"
"3740",1110,1207,2010,33,73,46,"H",0,"Georgetown","American Univ"
"3811",1110,1291,2010,16,73,62,"A",0,"Mt St Mary's","American Univ"
"3818",1110,1193,2010,21,72,56,"A",0,"Fairfield","American Univ"
"3826",1110,1336,2010,49,76,57,"H",0,"Penn St","American Univ"
"3835",1110,1196,2010,56,76,60,"H",0,"Florida","American Univ"
"3847",1110,1384,2010,11,65,61,"H",0,"St Francis PA","American Univ"
"3871",1110,1194,2010,19,81,69,"A",0,"FL Atlantic","American Univ"
"3912",1110,1162,2010,63,56,51,"H",0,"Columbia","American Univ"
"3916",1110,1159,2010,103,75,74,"H",2,"Colgate","American Univ"
"3924",1110,1250,2010,125,79,57,"H",0,"Lehigh","American Univ"
"3989",1110,1137,2010,101,73,59,"A",0,"Bucknell","American Univ"
"4027",1111,1158,2010,107,73,72,"H",0,"Col Charleston","Appalachian St"
"4093",1111,1154,2010,65,62,58,"A",0,"Citadel","Appalachian St"
"4143",1111,1116,2010,18,81,72,"H",1,"Arkansas","Appalachian St"
"4157",1111,1144,2010,58,92,63,"H",0,"Campbell","Appalachian St"
"4165",1111,1190,2010,12,62,58,"H",0,"ETSU","Appalachian St"
"4287",1111,1459,2010,126,56,51,"N",0,"Wofford","Appalachian St"
"4319",1111,1257,2010,21,80,53,"H",0,"Louisville","Appalachian St"
"4373",1111,1173,2010,49,65,49,"H",0,"Dayton","Appalachian St"
"4466",1111,1151,2010,89,85,80,"H",0,"Chattanooga","Appalachian St"
"4497",1111,1204,2010,79,68,65,"H",0,"Ga Southern","Appalachian St"
"4514",1111,1202,2010,31,85,82,"A",0,"Furman","Appalachian St"
"4548",1112,1450,2010,96,78,60,"H",0,"Washington St","Arizona"
"4557",1112,1113,2010,111,73,69,"A",0,"Arizona St","Arizona"
"4598",1112,1361,2010,40,63,46,"H",0,"San Diego St","Arizona"
"4600",1112,1417,2010,129,75,69,"N",0,"UCLA","Arizona"
"4615",1112,1328,2010,34,79,62,"H",0,"Oklahoma","Arizona"
"4684",1112,1458,2010,21,65,61,"N",0,"Wisconsin","Arizona"
"4687",1112,1435,2010,23,84,72,"N",0,"Vanderbilt","Arizona"
"4714",1112,1143,2010,115,95,71,"H",0,"California","Arizona"
"4729",1112,1333,2010,73,67,64,"H",0,"Oregon St","Arizona"
"4731",1112,1449,2010,94,81,75,"H",0,"Washington","Arizona"
"4747",1112,1450,2010,67,78,76,"A",0,"Washington St","Arizona"
"4768",1112,1425,2010,59,56,50,"H",0,"USC","Arizona"
"4770",1112,1140,2010,56,99,69,"A",0,"BYU","Arizona"
"4771",1112,1424,2010,30,74,72,"A",2,"UNLV","Arizona"
"4790",1112,1333,2010,103,63,55,"A",0,"Oregon St","Arizona"
"4807",1113,1390,2010,129,70,61,"N",0,"Stanford","Arizona St"
"4841",1113,1124,2010,31,64,61,"A",0,"Baylor","Arizona St"
"4860",1113,1449,2010,96,79,56,"H",0,"Washington","Arizona St"
"4934",1113,1112,2010,82,77,58,"A",0,"Arizona","Arizona St"
"4959",1113,1425,2010,61,47,37,"H",0,"USC","Arizona St"
"4987",1113,1143,2010,87,78,70,"A",0,"California","Arizona St"
"4998",1113,1140,2010,36,81,68,"H",0,"BYU","Arizona St"
"5027",1113,1417,2010,59,72,70,"H",0,"UCLA","Arizona St"
"5098",1113,1181,2010,23,64,53,"N",0,"Duke","Arizona St"
"5112",1113,1143,2010,117,62,46,"H",0,"California","Arizona St"
"5327",1114,1272,2010,40,83,71,"N",0,"Memphis","Ark Little Rock"
"5352",1114,1419,2010,101,67,64,"A",0,"ULM","Ark Little Rock"
"5359",1114,1176,2010,108,62,57,"H",0,"Denver","Ark Little Rock"
"5370",1114,1117,2010,124,89,82,"N",1,"Arkansas St","Ark Little Rock"
"5400",1114,1279,2010,11,92,64,"H",0,"Mississippi","Ark Little Rock"
"5416",1114,1166,2010,20,80,65,"H",0,"Creighton","Ark Little Rock"
"5426",1114,1198,2010,82,96,81,"H",0,"Florida Intl","Ark Little Rock"
"5460",1114,1409,2010,15,59,45,"H",0,"Tulsa","Ark Little Rock"
"5492",1114,1292,2010,68,66,52,"A",0,"MTSU","Ark Little Rock"
"5515",1114,1283,2010,30,75,62,"A",0,"Missouri St","Ark Little Rock"
"5525",1114,1460,2010,50,69,47,"H",0,"Wright St","Ark Little Rock"
"5551",1114,1256,2010,23,86,66,"H",0,"Louisiana Tech","Ark Little Rock"
"5559",1114,1194,2010,80,77,74,"H",0,"FL Atlantic","Ark Little Rock"
"5586",1114,1407,2010,115,76,73,"A",0,"Troy","Ark Little Rock"
"5624",1114,1117,2010,48,69,61,"H",0,"Arkansas St","Ark Little Rock"
"5655",1114,1443,2010,103,67,46,"A",0,"WKU","Ark Little Rock"
"5685",1114,1375,2010,44,74,71,"H",0,"South Alabama","Ark Little Rock"
"5690",1114,1317,2010,59,83,78,"A",0,"North Texas","Ark Little Rock"
"5702",1114,1418,2010,96,77,51,"H",0,"Louisiana","Ark Little Rock"
"5719",1114,1309,2010,73,67,66,"H",1,"New Orleans","Ark Little Rock"
"5744",1114,1419,2010,61,68,64,"H",0,"ULM","Ark Little Rock"
"5754",1114,1317,2010,110,83,65,"H",0,"North Texas","Ark Little Rock"
"5770",1115,1106,2010,70,75,73,"H",1,"Alabama St","Ark Pine Bluff"
"5792",1115,1431,2010,16,70,52,"H",0,"UTEP","Ark Pine Bluff"
"5796",1115,1332,2010,56,73,53,"H",0,"Oregon","Ark Pine Bluff"
"5856",1115,1238,2010,119,57,54,"H",0,"Jackson St","Ark Pine Bluff"
"5883",1115,1176,2010,13,75,56,"H",0,"Denver","Ark Pine Bluff"
"5912",1115,1113,2010,28,74,57,"H",0,"Arizona St","Ark Pine Bluff"
"5918",1115,1243,2010,49,90,76,"H",0,"Kansas St","Ark Pine Bluff"
"5920",1115,1210,2010,44,65,53,"H",0,"Georgia Tech","Ark Pine Bluff"
"5945",1115,1238,2010,91,72,67,"A",0,"Jackson St","Ark Pine Bluff"
"5948",1115,1281,2010,47,88,70,"H",0,"Missouri","Ark Pine Bluff"
"6070",1115,1411,2010,84,70,67,"H",0,"TX Southern","Ark Pine Bluff"
"6076",1115,1103,2010,25,68,65,"H",0,"Akron","Ark Pine Bluff"
"6174",1115,1160,2010,11,88,72,"H",0,"Colorado","Ark Pine Bluff"
"6175",1115,1276,2010,33,67,53,"H",0,"Michigan","Ark Pine Bluff"
"6200",1115,1329,2010,41,81,66,"H",0,"Oklahoma St","Ark Pine Bluff"
"6215",1116,1412,2010,61,73,72,"A",0,"UAB","Arkansas"
"6236",1116,1124,2010,58,70,47,"N",0,"Baylor","Arkansas"
"6267",1116,1288,2010,22,97,94,"A",0,"Morgan St","Arkansas"
"6283",1116,1375,2010,27,74,61,"A",0,"South Alabama","Arkansas"
"6299",1116,1397,2010,121,80,73,"H",0,"Tennessee","Arkansas"
"6319",1116,1328,2010,30,67,47,"H",0,"Oklahoma","Arkansas"
"6338",1116,1257,2010,15,96,66,"N",0,"Louisville","Arkansas"
"6341",1116,1400,2010,64,96,85,"A",0,"Texas","Arkansas"
"6372",1116,1190,2010,25,94,85,"A",0,"ETSU","Arkansas"
"6412",1116,1280,2010,73,82,80,"H",0,"Mississippi St","Arkansas"
"6414",1116,1279,2010,124,68,66,"A",0,"Mississippi","Arkansas"
"6417",1116,1261,2010,114,65,54,"H",0,"LSU","Arkansas"
"6466",1116,1246,2010,82,101,70,"H",0,"Kentucky","Arkansas"
"6515",1116,1104,2010,103,73,68,"H",0,"Alabama","Arkansas"
"6565",1116,1120,2010,110,92,83,"H",0,"Auburn","Arkansas"
"6574",1116,1208,2010,129,77,64,"N",0,"Georgia","Arkansas"
"6583",1116,1435,2010,117,89,72,"A",0,"Vanderbilt","Arkansas"
"6588",1116,1196,2010,80,71,66,"A",0,"Florida","Arkansas"
"6606",1117,1407,2010,117,64,57,"A",0,"Troy","Arkansas St"
"6607",1117,1443,2010,110,78,76,"A",1,"WKU","Arkansas St"
"6632",1117,1232,2010,27,77,72,"A",0,"Indiana St","Arkansas St"
"6642",1117,1431,2010,19,82,56,"H",0,"UTEP","Arkansas St"
"6688",1117,1443,2010,125,65,64,"N",0,"WKU","Arkansas St"
"6696",1117,1272,2010,33,74,55,"H",0,"Memphis","Arkansas St"
"6709",1117,1279,2010,30,79,57,"A",0,"Mississippi","Arkansas St"
"6790",1117,1418,2010,108,56,54,"H",0,"Louisiana","Arkansas St"
"6833",1117,1114,2010,94,79,77,"H",0,"Ark Little Rock","Arkansas St"
"6866",1117,1194,2010,82,78,63,"H",0,"FL Atlantic","Arkansas St"
"6898",1117,1443,2010,101,79,68,"H",0,"WKU","Arkansas St"
"6924",1117,1176,2010,59,64,55,"H",0,"Denver","Arkansas St"
"6937",1117,1249,2010,63,87,68,"H",0,"Lamar","Arkansas St"
"7063",1117,1283,2010,40,75,64,"A",0,"Missouri St","Arkansas St"
"7199",1119,1248,2010,86,77,68,"H",0,"Lafayette","Army"
"7203",1119,1339,2010,61,67,57,"H",0,"Portland","Army"
"7221",1119,1110,2010,107,57,54,"H",0,"American Univ","Army"
"7233",1119,1374,2010,58,71,63,"H",0,"SMU","Army"
"7261",1119,1250,2010,103,78,66,"H",0,"Lehigh","Army"
"7297",1119,1159,2010,68,68,58,"H",1,"Colgate","Army"
"7300",1119,1298,2010,82,62,56,"H",0,"Navy","Army"
"7312",1119,1248,2010,114,80,54,"A",0,"Lafayette","Army"
"7383",1119,1250,2010,121,64,45,"H",0,"Lehigh","Army"
"7537",1119,1440,2010,11,93,86,"H",0,"VMI","Army"
"7583",1119,1137,2010,117,62,51,"A",0,"Bucknell","Army"
"7656",1119,1138,2010,31,74,67,"H",0,"Buffalo","Army"
"7730",1119,1137,2010,89,55,48,"H",0,"Bucknell","Army"
"7741",1119,1250,2010,76,73,55,"A",0,"Lehigh","Army"
"7751",1119,1221,2010,100,70,56,"A",0,"Holy Cross","Army"
"7760",1120,1358,2010,48,107,89,"A",0,"Sam Houston St","Auburn"
"7784",1120,1279,2010,114,85,75,"H",0,"Mississippi","Auburn"
"7789",1120,1376,2010,68,80,71,"A",0,"South Carolina","Auburn"
"7845",1120,1116,2010,96,82,79,"H",1,"Arkansas","Auburn"
"7856",1120,1407,2010,32,81,77,"A",0,"Troy","Auburn"
"7910",1120,1196,2010,108,78,70,"H",0,"Florida","Auburn"
"7942",1120,1104,2010,124,73,61,"H",0,"Alabama","Auburn"
"7961",1120,1246,2010,75,72,67,"A",0,"Kentucky","Auburn"
"7983",1120,1283,2010,14,73,62,"H",0,"Missouri St","Auburn"
"8073",1120,1301,2010,20,60,58,"N",0,"NC State","Auburn"
"8081",1120,1435,2010,82,82,74,"H",0,"Vanderbilt","Auburn"
"8110",1120,1416,2010,18,84,74,"N",0,"UCF","Auburn"
"8118",1120,1196,2010,129,78,69,"N",0,"Florida","Auburn"
"8135",1120,1199,2010,45,76,72,"H",0,"Florida St","Auburn"
"8155",1120,1397,2010,73,81,55,"H",0,"Tennessee","Auburn"
"8172",1120,1280,2010,103,85,75,"H",1,"Mississippi St","Auburn"
"8188",1120,1279,2010,87,84,74,"A",0,"Mississippi","Auburn"
"8435",1122,1331,2010,110,89,80,"A",0,"Oral Roberts","Austin Peay"
"8465",1122,1237,2010,18,77,63,"N",0,"IUPUI","Austin Peay"
"8482",1122,1281,2010,55,94,79,"H",0,"Missouri","Austin Peay"
"8492",1122,1287,2010,61,68,65,"H",1,"Morehead St","Austin Peay"
"8504",1122,1293,2010,68,69,53,"A",0,"Murray St","Austin Peay"
"8643",1122,1398,2010,103,76,67,"H",0,"Tennessee St","Austin Peay"
"8661",1122,1397,2010,11,83,54,"H",0,"Tennessee","Austin Peay"
"8671",1122,1399,2010,80,94,90,"H",0,"Tennessee Tech","Austin Peay"
"8683",1122,1184,2010,63,76,71,"H",0,"E Kentucky","Austin Peay"
"8687",1122,1293,2010,96,65,63,"H",0,"Murray St","Austin Peay"
"8707",1122,1399,2010,120,68,65,"A",0,"Tennessee Tech","Austin Peay"
"8783",1122,1183,2010,115,83,73,"H",0,"E Illinois","Austin Peay"
"8822",1122,1179,2010,26,78,72,"A",0,"Drake","Austin Peay"
"8852",1122,1246,2010,47,90,69,"H",0,"Kentucky","Austin Peay"
"8861",1122,1301,2010,19,66,59,"N",0,"NC State","Austin Peay"
"8901",1123,1139,2010,30,59,38,"A",0,"Butler","Ball St"
"8905",1123,1296,2010,68,62,48,"A",0,"N Illinois","Ball St"
"8925",1123,1173,2010,64,59,35,"H",0,"Dayton","Ball St"
"9055",1123,1396,2010,22,66,46,"H",0,"Temple","Ball St"
"9071",1123,1325,2010,125,85,77,"A",1,"Ohio","Ball St"
"9073",1123,1413,2010,26,60,58,"A",0,"UC Davis","Ball St"
"9177",1123,1245,2010,100,76,42,"H",0,"Kent","Ball St"
"9193",1123,1345,2010,47,69,49,"N",0,"Purdue","Ball St"
"9247",1123,1141,2010,72,53,38,"H",0,"C Michigan","Ball St"
"9265",1123,1399,2010,40,86,81,"H",1,"Tennessee Tech","Ball St"
"9269",1123,1185,2010,114,72,67,"A",0,"E Michigan","Ball St"
"9276",1123,1405,2010,117,45,42,"H",0,"Toledo","Ball St"
"9319",1123,1185,2010,82,57,53,"H",0,"E Michigan","Ball St"
"9324",1123,1103,2010,96,75,70,"A",1,"Akron","Ball St"
"9325",1123,1444,2010,122,67,52,"H",0,"W Michigan","Ball St"
"9457",1124,1401,2010,96,78,71,"H",0,"Texas A&M","Baylor"
"9623",1124,1243,2010,130,82,75,"N",0,"Kansas St","Baylor"
"9670",1124,1243,2010,85,76,74,"A",0,"Kansas St","Baylor"
"9726",1124,1329,2010,110,82,75,"H",0,"Oklahoma St","Baylor"
"9735",1124,1160,2010,71,78,71,"H",0,"Colorado","Baylor"
"9754",1124,1104,2010,24,79,76,"N",0,"Alabama","Baylor"
"9817",1124,1242,2010,79,81,75,"H",0,"Kansas","Baylor"
"9842",1125,1460,2010,13,82,73,"N",0,"Wright St","Belmont"
"9856",1125,1273,2010,122,87,81,"H",0,"Mercer","Belmont"
"9871",1125,1195,2010,110,85,80,"H",0,"FL Gulf Coast","Belmont"
"9881",1125,1449,2010,12,96,78,"H",0,"Washington","Belmont"
"9883",1125,1252,2010,85,78,72,"A",0,"Lipscomb","Belmont"
"9912",1125,1239,2010,75,82,66,"H",0,"Jacksonville","Belmont"
"9935",1125,1195,2010,61,66,63,"A",0,"FL Gulf Coast","Belmont"
"9956",1125,1252,2010,70,64,53,"H",0,"Lipscomb","Belmont"
"10003",1125,1183,2010,47,63,60,"A",0,"E Illinois","Belmont"
"10009",1125,1387,2010,44,75,67,"H",0,"St Louis","Belmont"
"10023",1125,1242,2010,57,81,51,"H",0,"Kansas","Belmont"
"10027",1125,1316,2010,73,45,43,"H",0,"North Florida","Belmont"
"10101",1126,1416,2010,40,63,50,"H",0,"UCF","Bethune-Cookman"
"10138",1126,1175,2010,103,67,50,"H",0,"Delaware St","Bethune-Cookman"
"10166",1126,1197,2010,122,69,64,"H",0,"Florida A&M","Bethune-Cookman"
"10178",1126,1288,2010,98,48,47,"H",0,"Morgan St","Bethune-Cookman"
"10214",1126,1271,2010,105,62,56,"H",0,"MD E Shore","Bethune-Cookman"
"10217",1126,1175,2010,75,77,60,"A",0,"Delaware St","Bethune-Cookman"
"10372",1126,1433,2010,11,77,51,"H",0,"VCU","Bethune-Cookman"
"10406",1126,1354,2010,117,58,46,"H",0,"S Carolina St","Bethune-Cookman"
"10424",1126,1330,2010,13,69,38,"H",0,"Old Dominion","Bethune-Cookman"
"10435",1126,1274,2010,58,73,55,"H",0,"Miami FL","Bethune-Cookman"
"10499",1126,1354,2010,89,58,55,"A",0,"S Carolina St","Bethune-Cookman"
"10505",1126,1214,2010,110,71,44,"A",0,"Hampton","Bethune-Cookman"
"10539",1126,1175,2010,128,57,55,"N",0,"Delaware St","Bethune-Cookman"
"10621",1126,1239,2010,44,56,48,"A",0,"Jacksonville","Bethune-Cookman"
"10644",1126,1224,2010,84,67,64,"H",0,"Howard","Bethune-Cookman"
"10658",1126,1280,2010,19,67,51,"H",0,"Mississippi St","Bethune-Cookman"
"10706",1127,1382,2010,18,66,40,"H",0,"St Bonaventure","Binghamton"
"10718",1127,1179,2010,40,77,76,"H",0,"Drake","Binghamton"
"10752",1127,1216,2010,80,64,63,"H",0,"Hartford","Binghamton"
"10775",1127,1263,2010,69,66,61,"A",1,"Maine","Binghamton"
"10792",1127,1388,2010,57,85,57,"H",0,"St Mary's CA","Binghamton"
"10847",1127,1306,2010,101,67,60,"H",0,"New Hampshire","Binghamton"
"10849",1127,1441,2010,22,73,44,"H",0,"W Carolina","Binghamton"
"10896",1127,1131,2010,107,93,51,"H",0,"Boston Univ","Binghamton"
"10929",1127,1377,2010,41,89,77,"N",0,"South Dakota","Binghamton"
"10938",1127,1392,2010,103,81,61,"H",0,"Stony Brook","Binghamton"
"10987",1127,1263,2010,96,61,49,"H",0,"Maine","Binghamton"
"11008",1127,1372,2010,58,64,43,"N",0,"SF Austin","Binghamton"
